Ward,District,Area,Latitude,Longitude
Xã Bình Chánh,Huyện Bình Chánh,"Xã Bình Chánh, Huyện Bình Chánh",10.6605,106.58224
Xã Quy Đức,Huyện Bình Chánh,"Xã Quy Đức, Huyện Bình Chánh",10.64279,106.63806
Thị trấn Nhà Bè,Huyện Nhà Bè,"Thị trấn Nhà Bè, Huyện Nhà Bè",10.69307,106.74165
Xã Phước Kiển,Huyện Nhà Bè,"Xã Phước Kiển, Huyện Nhà Bè",10.70558,106.70701
Xã Phước Lộc,Huyện Nhà Bè,"Xã Phước Lộc, Huyện Nhà Bè",10.70282,106.68735
Xã Nhơn Đức,Huyện Nhà Bè,"Xã Nhơn Đức, Huyện Nhà Bè",10.67367,106.69959
Xã Phú Xuân,Huyện Nhà Bè,"Xã Phú Xuân, Huyện Nhà Bè",10.67857,106.74947
Xã Long Thới,Huyện Nhà Bè,"Xã Long Thới, Huyện Nhà Bè",10.65179,106.72544
Xã Hiệp Phước,Huyện Nhà Bè,"Xã Hiệp Phước, Huyện Nhà Bè",10.60454,106.75734
Thị trấn Cần Thạnh,Huyện Cần Giờ,"Thị trấn Cần Thạnh, Huyện Cần Giờ",10.41461,106.96089
Xã Bình Khánh,Huyện Cần Giờ,"Xã Bình Khánh, Huyện Cần Giờ",10.64709,106.78568
Xã Tam Thôn Hiệp,Huyện Cần Giờ,"Xã Tam Thôn Hiệp, Huyện Cần Giờ",10.59591,106.85677
Xã An Thới Đông,Huyện Cần Giờ,"Xã An Thới Đông, Huyện Cần Giờ",10.54799,106.83315
Xã Thạnh An,Huyện Cần Giờ,"Xã Thạnh An, Huyện Cần Giờ",10.47086,106.97479
Xã Long Hòa,Huyện Cần Giờ,"Xã Long Hòa, Huyện Cần Giờ",10.49588,106.86906
Xã Lý Nhơn,Huyện Cần Giờ,"Xã Lý Nhơn, Huyện Cần Giờ",10.51632,106.77028
